g u-g g-r r-i i-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
21.332 3.095 1.43 1.378 0.792 -37.032 -47.871 7.62 45.71 -5.77 -28.49 0.00538 14.07 5 7.45 3089.0 5.08 7 8.4726 0.151 11.388 0.16 -0.084 -0.011 240.032608 -48.233704 61.314091 -37.601368 0.186 -8.0619 -0.1073 -0.1237 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.206 2.998 1.397 1.374 0.795 9.775 -50.744 -14.7 39.16 -22.92 15.66 0.00521 13.9 5 7.45 3137.0 4.94 5 3.9432 0.032 11.169 0.175 0.119 0.012 240.593475 -48.2924 61.238686 -37.974602 0.1918 -8.0627 -0.1112 -0.1282 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.907 3.096 1.441 1.334 0.762 -54.374 -55.667 -5.15 63.45 7.49 -27.35 0.00538 13.64 5 7.45 3150.0 4.97 7 8.5397 0.272 11.169 0.175 -0.313 0.006 240.496399 -48.371944 61.138336 -37.909569 0.1859 -8.0608 -0.1075 -0.124 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.516 2.924 1.381 1.315 0.76 3.11 25.699 20.01 -29.76 -2.39 -11.5 0.00503 13.14 5 7.4 3189.0 5.0 5 3.9031 0.153 10.748 0.206 0.165 0.033 240.512634 -47.9636 61.655872 -37.921852 0.1987 -8.0655 -0.1158 -0.1326 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.386 2.918 1.378 1.304 0.753 40.153 43.401 2.68 -49.74 -6.11 19.48 0.00524 13.1 5 7.4 3089.0 5.03 7 8.6363 0.214 10.679 0.212 0.276 0.035 239.476898 -47.831253 61.817036 -37.226582 0.1909 -8.0651 -0.1104 -0.1265 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.71 3.024 1.353 1.209 0.697 -41.307 -63.811 -19.95 70.09 6.22 -8.57 0.00534 12.48 5 7.35 3367.0 5.09 6 6.0779 0.291 10.314 0.238 0.1 -0.013 239.696365 -47.793686 61.86668 -37.373455 0.1873 -8.0635 -0.1086 -0.1237 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.612 3.061 1.347 1.177 0.678 -12.136 13.857 22.71 -14.92 -0.4 -24.61 0.00508 12.28 5 7.35 3286.0 5.12 3 1.5314 0.362 10.193 0.248 -0.01 0.014 239.906677 -48.025105 61.576805 -37.51651 0.1969 -8.066 -0.1139 -0.1314 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.953 3.027 1.356 1.093 0.627 24.778 33.268 24.74 -41.91 -12.33 -2.96 0.00521 11.67 5 7.3 3393.0 5.12 5 4.0319 0.16 9.967 0.266 0.027 0.016 240.016998 -48.204388 61.351028 -37.590916 0.1918 -8.0639 -0.1107 -0.128 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.99 3.003 1.342 1.069 0.614 37.001 -4.242 24.89 -16.49 -38.49 3.21 0.00502 11.64 5 7.3 3386.0 4.84 3 1.5145 0.327 9.874 0.273 -0.106 0.033 239.544357 -47.907799 61.721634 -37.272842 0.1991 -8.0677 -0.1151 -0.1328 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.163 2.928 1.304 0.995 0.571 4.107 6.656 -10.66 -0.88 5.42 8.97 0.00553 11.05 5 7.25 3535.0 4.96 4 2.4357 0.411 9.61 0.292 -0.135 0.025 239.678192 -48.003788 61.602161 -37.36351 0.1807 -8.061 -0.1044 -0.1193 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
